ZIP Code,Type,County,Population,Area Code(s)
ZIP Code 90001,Standard,Los Angeles,"57,110",323
ZIP Code 90002,Standard,Los Angeles,"51,223",323 / 562
ZIP Code 90003,Standard,Los Angeles,"66,266",323 / 213
ZIP Code 90004,Standard,Los Angeles,"62,180",323 / 213
ZIP Code 90005,Standard,Los Angeles,"37,681",323 / 213 / 310 / 818 / 626
ZIP Code 90006,Standard,Los Angeles,"59,185",213 / 323
ZIP Code 90007,Standard,Los Angeles,"40,920",323 / 213
ZIP Code 90008,Standard,Los Angeles,"32,327",323
ZIP Code 90009,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90010,Standard,Los Angeles,"3,800",323 / 310 / 818 / 213 / 626
ZIP Code 90011,Standard,Los Angeles,"103,892",323
ZIP Code 90012,Standard,Los Angeles,"31,103",323 / 818
ZIP Code 90013,Standard,Los Angeles,"11,772",213 / 323 / 626 / 818 / 424 / 562 / 310 / 747
ZIP Code 90014,Standard,Los Angeles,"7,005",213 / 323 / 626 / 424 / 818 / 310 / 562 / 747
ZIP Code 90015,Standard,Los Angeles,"18,986",213 / 323 / 310 / 626 / 818 / 562 / 424
ZIP Code 90016,Standard,Los Angeles,"47,596",323
ZIP Code 90017,Standard,Los Angeles,"23,768",213 / 323 / 626 / 310 / 562 / 818 / 424
ZIP Code 90018,Standard,Los Angeles,"49,310",323 / 213
ZIP Code 90019,Standard,Los Angeles,"64,458",323
ZIP Code 90020,Standard,Los Angeles,"38,967",323 / 310 / 818 / 213 / 626
ZIP Code 90021,Standard,Los Angeles,"3,951",213 / 323 / 626 / 818 / 424 / 562 / 310 / 747
ZIP Code 90022,Standard,Los Angeles,"67,179",562 / 323
ZIP Code 90023,Standard,Los Angeles,"45,903",323
ZIP Code 90024,Standard,Los Angeles,"47,452",310 / 818
ZIP Code 90025,Standard,Los Angeles,"42,147",310 / 424 / 818
ZIP Code 90026,Standard,Los Angeles,"67,869",213
ZIP Code 90027,Standard,Los Angeles,"45,151",323 / 818 / 213 / 747
ZIP Code 90028,Standard,Los Angeles,"28,714",323 / 818 / 213 / 747
ZIP Code 90029,Standard,Los Angeles,"38,617",323 / 213
ZIP Code 90030,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90031,Standard,Los Angeles,"39,316",323
ZIP Code 90032,Standard,Los Angeles,"45,786",626
ZIP Code 90033,Standard,Los Angeles,"48,852",323
ZIP Code 90034,Standard,Los Angeles,"57,964",310 / 424
ZIP Code 90035,Standard,Los Angeles,"28,418",310 / 424
ZIP Code 90036,Standard,Los Angeles,"36,865",323
ZIP Code 90037,Standard,Los Angeles,"62,276",323 / 424 / 310 / 213
ZIP Code 90038,Standard,Los Angeles,"28,917",323 / 818 / 213 / 747
ZIP Code 90039,Standard,Los Angeles,"28,514",818 / 747
ZIP Code 90040,Standard,Los Angeles,"12,520",562 / 323
ZIP Code 90041,Standard,Los Angeles,"27,425",323 / 626
ZIP Code 90042,Standard,Los Angeles,"62,430",323 / 626
ZIP Code 90043,Standard,Los Angeles,"44,789",323
ZIP Code 90044,Standard,Los Angeles,"89,779",323 / 310 / 213
ZIP Code 90045,Standard,Los Angeles,"39,480",323
ZIP Code 90046,Standard,Los Angeles,"48,581",323
ZIP Code 90047,Standard,Los Angeles,"48,606",323 / 213
ZIP Code 90048,Standard,Los Angeles,"21,397",323 / 310
ZIP Code 90049,Standard,Los Angeles,"35,482",818 / 310
ZIP Code 90050,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90051,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90052,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90053,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90054,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90055,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90056,Standard,Los Angeles,"7,827",323
ZIP Code 90057,Standard,Los Angeles,"44,998",213
ZIP Code 90058,Standard,Los Angeles,"3,223",323
ZIP Code 90059,Standard,Los Angeles,"40,952",310 / 213
ZIP Code 90060,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90061,Standard,Los Angeles,"26,872",310 / 323 / 213
ZIP Code 90062,Standard,Los Angeles,"32,821",323
ZIP Code 90063,Standard,Los Angeles,"55,758",323
ZIP Code 90064,Standard,Los Angeles,"25,403",310 / 818
ZIP Code 90065,Standard,Los Angeles,"45,527",323
ZIP Code 90066,Standard,Los Angeles,"55,277",310 / 424
ZIP Code 90067,Standard,Los Angeles,"2,424",310
ZIP Code 90068,Standard,Los Angeles,"22,286",323 / 213
ZIP Code 90069,Standard,Los Angeles,"20,483",818 / 323
ZIP Code 90070,P.O. Box,Los Angeles,0,213
ZIP Code 90071,Standard,Los Angeles,15,213 / 323 / 626 / 310 / 818 / 424 / 562 / 747
ZIP Code 90072,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90073,P.O. Box,Los Angeles,539,310 / 424 / 818
ZIP Code 90074,Unique,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90075,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90076,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90077,Standard,Los Angeles,"9,377",818 / 310
ZIP Code 90078,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90079,Standard,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90080,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90081,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90082,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90083,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90084,Unique,Los Angeles,0,310 / 818
ZIP Code 90086,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90087,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90088,Unique,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90089,Unique,Los Angeles,"3,217",323 / 213
ZIP Code 90090,Unique,Los Angeles,0,323 / 818
ZIP Code 90091,P.O. Box,Los Angeles,0,562 / 323
ZIP Code 90093,P.O. Box,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90094,Standard,Los Angeles,"5,464",323
ZIP Code 90095,Unique,Los Angeles,3,310 / 818
ZIP Code 90096,Unique,Los Angeles,0,323
ZIP Code 90099,Unique,Los Angeles,0,213 / 323 / 626 / 310 / 818 / 424 / 562 / 747
ZIP Code 90134,Unique,Los Angeles,0,213 / 310 / 323
ZIP Code 90189,Unique,Los Angeles,0,424 / 213 / 323 / 818 / 626 / 747
ZIP Code 90230,Standard,Los Angeles,"31,766",310 / 424
